cgce_emp,codi_emp,fantasia_emp,razao_emp
'36181497000139',3,'ESTALEIRO BEBIDAS','ESTALEIRO BEBIDAS LTDA'
'22479806000147',5,'RUBI DISTRIBUIDORA DE CEMENTES E CEREAIS','A.H. DE FREITAS COSTA'
'42077510000107',6,'DEBITT CONTABILIDADE','DEBITT CONTABILIDADE DIGITAL LTDA'
'65116744000111',843,'2M PINTURA ELETROSTATICA','M&M PINTURA ELETROSTATICA LTDA'
'13258237000119',9,'NIPAMIX','NIPAN MASSAS CONGELADAS LTDA - ME.'
'36142836000178',267,'LS ESPACO BEAUTY','J L DE SOUSA ARRUDA SERVIシS LTDA'
'49287663000128',270,'ACAI DA SAFRA ITAPIPOCA','L R CARVALHO E CIA LTDA'
'51201530000139',271,'DS OPTICA','DS OPTICA LTDA'
'43570576000105',46,'A C M NUTRICAO','A C M SERVICOS DE NUTRICAO GERIATRICA LTDA'
'43836199000103',64,'GM TECHNOLOGY AND CONSULTING','GUILHERME VIEIRA DE MORAES'
'15024264000152',61,'KI SORVETAO','ITALO J B BARROS'
'07516056000142',14,'FCO CONJ','FRANCISCO DAS CHAGAS DE ALMEIDA BARROSO'
'00169175000127',15,'GIRASOL MODA PRAIA','MARIA AURILENE DE SOUZA CAMURォ ME'
'36410673000167',19,'FARMACIA BELA VISTA','J P SILVA COMERCIO DE PRODUTOS FARMACEUTICOS'
'23486871000162',21,'FRANCISCO EVANILDO','FRANCISCO EVANILDO LIMA DA SILVA ME'
'20743516000133',22,'FARMACIA ESPACO SAUDE VIP','HOLANDA MAIA COMERCIO DE MEDICAMENTOS LTDA EPP'
'10463419000133',33,'PRO - HANIMALLY-S','MARQUES PET SHOP LTDA'
'49385622000174',195,'ACO ESTRUTURAL','ACO ESTRUTURAL LTDA'
'49461923000130',197,'DEDETIZADORA MAGALHAES','DEDETIZADORA MAGALHAES LTDA'
'18452941000121',29,'SBC MILITAR','S B C INDUSTRIA E COMERCIO DE CONFECCOES E EQUIPAMENTOS LTDA.'
'73796088000173',31,'REDE AMBIENTAL','REDE AMBIENTAL COMERCIO E SERVIシS LTDA '
'28429030000137',36,'ANA CONCEITO','A L S MENDES-MOVEIS'
'28429030000218',37,'ANA CONCEITO','A L S MENDES-MOVEIS'
'26244766000105',68,'BRENO AUGUSTO CARDOSO BARROSO','BRENO AUGUSTO CARDOSO BARROSO'
'06538544000198',48,'J C CESTAS BASICAS','JIMMY CARLOS N DE SOUSA'
'42781752000187',49,'INARIO CORTINAS & DECORACAO','INARIO INDUSTRIA E COMERCIO DE PERSIANAS E CORTINAS LTDA'
'09237792000197',38,'FARMACIA UNIAO','COMERCIAL DE MEDICAMENTO ITAPERY LTDA'
'01639337000106',40,'SABOR DOCES & SALGADOS','SABOR DOCES & SALGADOS LTDA'
'27040637000168',41,'VILA ACAI','VILA ACAI LTDA'
'27040637000249',42,'VILA ACAI','VILA ACAI LTDA'
'37136628000129',543,'FORTAL FRIOS','D. RAMOS DE ARAUJO COMERCIO DE ALIMENTOS LTDA'
'34292467000174',43,'VILA ACAI','VILA ACAI BM LTDA'
'31056639000112',516,'','31.056.639 ANNA BEATRIZ LIMA D AVILA'
'33912498000118',517,'MASTER CAIXAS EMBALAGENS','MASTER CAIXAS EMBALAGENS LTDA'
'54344813000128',518,'MASTER CAIXAS SERVICOS','MASTER CAIXAS SERVICOS LTDA'
'47241407000255',519,'','DROGARIA FARMA CEZAR LTDA'
'39842680000126',520,'COMPLEXO DE SAUDE DR ADAILSON SILVA','COMPLEXO DE SAUDE E ENSINO A SIL LTDA'
'32836396000106',521,'AFORT MOTOS FORTALEZA','A SILVA LOCACAO, SERVICOS E COMERCIO DE PECAS DE MOTOCICLETAS LTDA'
'55365194000110',522,,'KAPILER, INDUSTRIA E COMERCIO LTDA'
'44929871000160',81,'','AUGUSTO LAIO SOCIEDADE INDIVIDUAL DE ADVOCACIA'
'45038547000114',82,'TOTEM COWORKING','TOTEM COWORKING LTDA'
'29860549000138',85,'4 PATAS PET HOTEL','4 PATAS PET HOTEL LTDA'
'14140817000170',86,'C E MOVEIS','C GOMES DA SILVA MOVEIS'
'10418062000171',136,'TA BONITO','TA BONITO SERVICOS ADMINISTRATIVOS LTDA'
'08874086000193',50,'FARMACIA CURA CERTA','CURA''CERTA COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS LTDA'
'35939664000103',51,'RCM ASSESSORIA','R C MAIA ASSESSORIA'
'42639165000158',52,'DROGARIA CLARA SAUDE','F M DA SILVA HOLANDA COMERCIO DE PRODUTOS FARMACEUTICOS'
'17305484000180',54,'JOSY MODA PRAIA','C E J MODA PRAIA LTDA'
'42078843000150',69,'','GETULIO VIEIRA DE MORAES.'
'43667407000180',70,'QUIMERA CONSTRUCOES','QUIMERA CONSTRUCOES E SERVICOS LTDA'
'23492582000176',71,'ASSESSORIA E SERVICOS UNICON','UNICON SERVICOS E EVENTOS LTDA'
'44168654000102',73,'FARMACIA IRACEMA','IRACEMA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA'
'15395792000118',57,'W A STUDIO DE PILATES','A M BARBOSA'
'43458475000139',58,'LAB ONE','LAB ONE PRODUTOS E SERVICOS OPTICOS LTDA'
'24689061000176',59,'KBYTE COMPUTADORES','J C DA S MESQUITA COMPUTADORES'
'43421948000123',62,'NEXT PROJETOS E SERVICOS','J P F DA SILVA SERVICOS ELETRICOS'
'45030050000150',88,'MARQUES ATENDIMENTOS MEDICOS','R. ALVES MARQUES ATENDIMENTOS MEDICOS'
'32343397000100',149,'LIBERTY JEANS','LIBERTY JEANS LTDA'
'43148601000159',150,'MOVELARIA CANTO DOS MOVEIS','MOVELARIA CANTO DOS MOVEIS LTDA'
'48003523000118',151,'DEB LEGALIZACAO','DEB SERVICOS DE LEGALIZACAO LTDA'
'13254185000102',152,'RVR TURISMO E EVENTOS','RVR TURISMO E EVENTOS LTDA'
'32486238000165',116,'MADEARTS KIDS','32.486.238 ANA CAROLINA GONCALVES BARROS'
'12346125000157',117,'MADEARTS MDF','MADEARTS MDF LTDA'
'41119997000180',145,'CARIOCA INFOCELL','CARIOCA INFOCELL LTDA'
'36278079000164',146,'HOLDING TRES IRMAOS','3 A HOLDING PATRIMONIAL LTDA'
'45059658000107',95,'','WILLIAN CARVALHO SOCIEDADE INDIVIDUAL DE ADVOCACIA'
'47330178000164',132,'GALETERIA MARANHAO','GALETERIA MARANHAO LTDA'
'44195954000172',133,'JAV AMBIENTACOES','JAV AMBIENTACOES, FABRICACAO E COMERCIO LTDA'
'02301602000104',134,'NATAN DISTRIBUIDORA','NATAN DISTRIBUIDORA LTDA'
'38295532000176',124,'STRONG ENERGY','STRONG ENERGY LTDA.'
'48213752000167',201,'AV CONSULTORIA','AV CONSULTORIA LTDA'
'50623645000582',544,'PETITE JOLIE','JOLIE-CE COMERCIO DE CALCADOS LTDA'
'33384059000180',204,'SENHOR PANDINHA MODA INFANTIL','J. L. E. DE OLIVEIRA SR PANDINHA'
'36756409000180',205,'IVAELCELULARES','IVAELCELULARES LTDA'
'47233185000148',129,'J FLAVIO IMOVEIS','J FLAVIO SERVICOS DE INTERMEDIACOES LTDA'
'41589408000128',105,'HOSPITAL VETERINARIO DE EQUINOS DRA JOILDE GADELHA','HOSPITAL VETERINARIO DE EQUINOS DRA JOILDE GADELHA LTDA'
'02462198318',107,,'DIEGO FELIPE SILVEIRA ESSES'
'46738798000174',110,'IACO REPRESENTACOES','IACO REPRESENTACOES LTDA'
'28775766000167',111,'DROGARIA SANAR','CDI PRODUTOS FARMACEUTICOS LTDA'
'50623645000400',545,'PETITE JOLIE','JOLIE-CE COMERCIO DE CALCADOS LTDA'
'38348478000180',113,'BRAZIL OPPORTUNITY','BRAZIL OPPORTUNITY LTDA'
'43179859000112',366,'MILENIUM FRETAMENTO E TURISMO','MILENIUM FRETAMENTO E TURISMO LTDA'
'45154280000120',367,'LM2 TRUCK SERVICE','LL MOREIRA SERVICOS AUTOMOTORES LTDA'
'35057801000178',368,'','J R LIMA SOUSA COMERCIO DE ALIMENTOS LTDA'
'50581444000136',229,'NOVA EMPORIO','NOVA EMPORIO INDT LTDA'
'50657035000176',231,'NOVA EMPORIO','NOVA EMPORIO ARCP LTDA'
'50657081000175',232,'NOVA EMPORIO','NOVA EMPORIO ES LTDA'
'50112998000194',233,'NOVA EMPORIO','NOVA EMPORIO EN LTDA'
'51063292000142',247,'THE COFFEE PATIO DOM LUIS','PATIO CAFE LTDA'
'26321825000100',249,'COMERCIAL SOBREIRA','CS EMBALAGENS LTDA'
'36010066000100',251,'LOLA CONFEITARIA','LOLA INDUSTRIA E COMERCIO DE ALIMENTOS LTDA'
'39452463000120',547,'COLCHOES DOS SONHOS','COMERCIO COLCHOES DOS SONHOS LTDA'
'44054657000107',180,'LUCIANO LIBORIO PUBLICIDADE','LUCIANO LIBORIO PUBLICIDADE LTDA'
'05132687000132',181,'FRANGAO','P E BRILHANTE DE MENEZES'
'23549213000172',182,'SABOR BRILHANTE','M E NOBRE DE LIMA BRILHANTE'
'62657686000145',782,'','TAVARES AUTOPRIME LTDA'
'27849121000169',184,'JANIELLE LIMA CONCEITO','JANIELLE LIMA CONCEITO LTDA'
'33863206000102',161,'W & A CIA','W & A EMPREENDIMENTOS LTDA'
'27699575000109',163,'CLINICA BENJAMIM (ODONTOLOGIA INTEGRADA)','EDILEUDA S LIMA'
'58946410000100',595,'VITTA RESIDENCIAL SENIOR','VITTA RESIDENCIAL SENIOR LTDA'
'00973755000172',165,'COMERCIAL ESTIVAS COELHO BRAGA','COMERCIAL ESTIVAS DE ALIMENTOS LTDA'
'57620277000134',548,'INFINITY TECH','INFINITY TECH SERVIシS E COMERCIO LTDA'
'10863681000175',168,'AUTO TECH TRANSMISSAO','O C M MACHADO NETO LTDA'
'48352530000125',169,'M&L EMPREENDIMENTOS','M&L CONSTRUCOES LTDA'
'41326017000110',171,'MR DOCTORS','MR DOCTORS LTDA'
'41550666000362',864,'','MA DE ALMEIDA COMERCIO DE ALIMENTOS IDEAL LTDA'
'48465634000146',173,'CARIOCA VARIEDADES','CARIOCA VARIEDADES LTDA'
'48996444000155',185,'IRON JUNGLE','IRON JUNGLE ACADEMIA DE MUSCULACAO LTDA'
'48990719000143',187,'L C MARCENARIA','LUIS C DO NASCIMENTO SERVICOS EM MOVEIS'
'36884241000198',188,,'J A DE SOUSA FILHO SERVICOS AUTOMOTIVOS'
'47232048000199',189,'ACADEMIA IVAS FITNESS','I M S SILVA CASTRO'
'48098490000137',190,'IGOR ROCHA GADELHA','IGOR ROCHA GADELHA LTDA'
'43418910000100',200,'ACO CEARA','ACO CEARA INDUSTRIA E COMERCIO LTDA'
'33327582000174',208,'AHAZZI ACESSORIOS','AHAZZI ACESSORIOS E BIJUTERIAS LTDA'
'49867539000131',210,'FRANGAO','P E BRILHANTE RESTAURANTE LTDA'
'50179544000130',216,,'RX ASSESSORIA E CONSULTORIA IMOBILIARIA '
'42639165000239',218,'DROGARIA CLARA SAUDE','F M DA SILVA HOLANDA COMERCIO DE PRODUTOS FARMACEUTICOS'
'37823312000105',219,'O&K COMERCIO','O F BRASIL NETO ARTESANAIS'
'41343361000118',220,'WORKEASY','WORKEASY SOLUCOES EM TI LTDA'
'50359141000173',223,'FANTASTIC FESTAS E VARIEDADES','FANTASTIC FESTAS E VARIEDADES LTDA'
'50377074000110',224,'ICONE CONSULTORIA E EDUCACAO','ICONE CONSULTORIA E EDUCACAO LTDA'
'50513223000120',226,'FARO CONSULTORIA EMPRESARIAL','FACANHA RODRIGUES CONSULTORIA EMPRESARIA'
'50551718000144',227,'HV ARAUJO DISTRIBUIDORA','HV ARAUJO DISTRIBUIDORA LTDA'
'39746199000137',228,'ARTES DA DIANINHA','CLAUDIANA T. SILVA'
'46569986000116',234,'','WS CAFE LTDA'
'36220012000179',235,'','UAU CAFETERIA LTDA '
'50726053000162',239,'','ISABEL OLIVEIRA DOS SANTOS SOCIEDADE INDIVIDUAL DE ADVOCACIA'
'07633475000164',240,'ANTONIZA NOIVAS','ANTONIA MARTINS GOMES'
'50994718000119',242,'MIX CONFEITARIA E CONSULTORIA','MIX CONFEITARIA E CONSULTORIA LTDA'
'18914734000141',252,,'PARANGABA VISION COMERCIO DE PRODUTOS OP'
'09541349000105',253,'','A. S. BESERRA COMERCIO DE ARTIGOS OPTICOS LTDA'
'20934644000164',254,'','VISION TREINAMENTOS LTDA'
'07373712000103',255,,'S N K COMERCIO DE ARTIGOS OPTICOS LTDA'
'22627192000101',256,'','BARAO VISION COMERCIO DE ARTIGOS OPTICOS LTDA.'
'15122739000143',257,'FERROVIA','FORTVISION COMERCIO DE PRODUTOS OPTICOS LTDA'
'23996720000154',258,'','EUSEBIO VISION COMERCIO DE ARTIGOS OPTICOS LTDA.'
'16610437000187',259,'FERROVIA','CAUCAIAVISION COMERCIO DE ARTIGOS OPTICOS LTDA'
'52197110000199',306,'FERROVIA','TANGO INTERMEDIACOES LTDA'
'08266225000104',260,'','F R V COMERCIO DE ARTIGOS OPTICOS LTDA'
'08393493000189',261,'FERROVIA','MARACANAU VISION COMERCIO DE ARTIGOS OPTICOS LTDA'
'20934708000127',262,'','ARVOREDO VISION COMERCIO DE ARTIGOS OPTICOS LTDA.'
'28942796000110',263,'','DEL PASEO OPTIC COMERCIO DE ARTIGOS OPTICOS LTDA'
'08427279000104',264,'','E V X COMERCIO DE ARTIGOS OPTICOS LTDA'
'42641227000166',265,'FERROVIA','TAPEBA COMERCIO DE ARTIGOS OPTICOS LTDA'
'51388096000148',276,'M B CAMINHOES','M B COMPRA E VENDA DE CAMINHOES LTDA'
'08571105000102',277,'A - TEC RADIOS E INFORMATICA','HENRIQUE SOUSA CAETANO LTDA'
'38462358000109',549,'ZE DA FIBRA','CARLOS H. M. SOUSA'
'20589507000130',281,'FUSION CABELEIREIROS','FUSION CABELEIREIROS LTDA'
'51645768000153',282,'AQA MEDICINA','QUEIROS AZEVEDO SERVICOS MEDICOS LTDA'
'51803514000116',287,'BRUNO VEICULOS','BRUNO VEICULOS LTDA'
'05646748000180',288,'','UCHOA COMERCIO DE GAS LTDA'
'44520218000142',289,'DEPOSITO MAURO CAPIM','ANTONIO MAURO DE SOUZA UCHOA LTDA'
'05646748000260',290,'','UCHOA COMERCIO DE GAS LTDA'
'05646748000341',292,'','UCHOA COMERCIO DE GAS LTDA'
'05646748000422',293,'','UCHOA COMERCIO DE GAS LTDA'
'05646748000694',294,'','UCHOA COMERCIO DE GAS LTDA'
'05646748000856',295,'','UCHOA COMERCIO DE GAS LTDA'
'05646748001070',297,'','UCHOA COMERCIO DE GAS LTDA'
'05646748001151',298,'','UCHOA COMERCIO DE GAS LTDA'
'51975362000139',300,'EMANUEL INTERMEDIACOES','EMANUEL INTERMEDIACOES LTDA'
'30994028000152',302,'FIESTA''S BUFFET','FIESTAS BUFFET LTDA'
'37619014000106',303,'MR.GREGO','MR GREGO COMERCIO DE ALIMENTOS LTDA'
'52014416000162',304,'CHRISTOPH DOLL CONSULTING','CHRISTOPH DOLL CONSULTING LTDA'
'52023829000103',305,'BRASIL OPPORTUNITY INVESTMENT','BRASIL INVESTIMENTOS EM NEGOCIOS IMOBILIARIOS LTDA'
'36377545000169',307,'APORTE PARTICIPACOES','APORTE ADMINISTRACAO DE FUNDOS LTDA'
'40066919000100',308,'ATIVOS REABILITACAO','ATIVOS REABILITACAO LTDA'
'11075280000113',309,'XAVIER CESTAS BASICAS','FRANCISCO XAVIER NETO'
'48466621000191',312,'BRILHO JEANS','BRILHO JEANS LTDA'
'38080863000199',313,'CAPITALIZE GESTAO EMPRESARIAL','CAPITALIZE GESTAO EMPRESARIAL LTDA'
'48078558000116',316,'CARMEL SERVICOS','CARMEL ADMINISTRACAO E SERVICOS LTDA'
'41301292000180',317,'QUATRO D TEXTIL','4D INDUSTRIA DE MALHAS LTDA.'
'45215147000137',319,'FINANZA BPO','FINANZA ADMINISTRACAO DE FUNDOS LTDA'
'16971736000147',550,'TPX OFFICE SERVICOS ADMINISTRATIVOS','TPX OFFICE SERVICOS ADMINISTRATIVOS LTDA'
'45215147000218',320,'','FINANZA ADMINISTRACAO DE FUNDOS LTDA'
'53768620000131',551,'MULTIMEDIA TECNOLOGIA','MULTIMEDIA TECNOLOGIA LTDA'
'39426970000199',324,'CRIACAO','MARINE COMERCIO DE PEIXES E CORAIS LTDA'
'20212680000114',325,'','MELINDA MODAS E CONFECCOES LTDA'
'20212680000203',326,'','MELINDA MODAS E CONFECCOES LTDA'
'23502766000170',327,'SERPET - MAO DE OBRA ESPECIALIZADA EM PETSHOP','SERPET - LOCACAO ESPECIALIZADA DE MAO DE OBRA LTDA'
'02908742000145',331,'VIANA''S PET SHOP E ASSISTENCIA VETERINARIA','NUTRICAO COMERCIO E SERVICOS LTDA'
'02908742000307',332,'','NUTRICAO COMERCIO E SERVICOS LTDA'
'02908742000498',333,'VIANA''S PET SHOP E ASSISTENCIA VETERINARIA','NUTRICAO COMERCIO E SERVICOS LTDA'
'37404301000190',334,'FABRICA DE COOKIES','R&M FABRICACAO E COMERCIO DE COOKIES LTDA'
'45373267000162',335,'CACHEADAS FORTALEZA','TALITA AMORIM SILVA GOMES 02358897337'
'09154432000121',336,'4D REPRESENTACOES','DIELLY QUEIROZ SAMPAIO'
'49796140000107',337,'LETICIA AMORIM CACHEADAS FORTALEZA','49.796.140 LETICIA AMORIM GOMES'
'03591742000127',339,'ELETRONICA LIMA','03.591.742 MARIA VICENCIA FREITAS BARBOSA DE LIMA'
'48059243000121',340,'ASLONEM','ASLONEM LTDA'
'04171105000164',342,'T.A.J. TRANSPORTE ALTERNATIVO JOINVILLE','T.A.J TRANSPORTES LTDA'
'49425230000191',343,'','APORTE CAPITAL E INVESTIMENTOS LTDA'
'49067190000153',346,'','IF CAPITAL E INVESTIMENTOS LTDA'
'36326266000176',347,'IF SERVICOS E TREINAMENTOS','MARAYSE ISMARIA PAULA FERNANDES DA SILVA 05496113393'
'12981026000147',154,'SUPER CUMBUCO','MERCANTIL SUPER CUMBUCO LTDA'
'20216194000174',156,'POUSADA POUSO DA PRAIA ','J. A. GARCIA MORAES'
